78387 13212 1
891333 131020 9
1106623 1301 1
1389484 13 1
188537 130132 10
537030 11 6
517706 112 5
270836 1 5
441362 1312032 7
76435 130313 1
903987 131200 5
1749105 112 5
760441 13013 6
163153 131021 5
1718308 13120 5
113197 13 2
1660785 131010 5
1796188 13 1
1725437 13011 6
974312 130 5
1016344 11231 5
4156 11230130 5
1013785 130121 1
420053 1123101 7
737601 13120 1
1663013 1301013 2
399789 1 5
1399630 131220 7
773687 11231 5
466460 13120 11
770455 1130 2
498783 11213 2
696318 130 1
1636726 11 6
6291 130130 1
381450 13 1
332076 131 2
1802934 131200 7
785926 130 5
424808 112112 2
529327 11213 11
638449 130 5
1630164 1303 5
994397 1301 5
38637 1123 5
63918 112122 5
687323 11203 6
1623489 13 1
256130 130313 2
1224745 13103 2
573805 1310 2
982500 11210 2
1006857 13030 5
1637429 13120 2
143407 130331 2
215492 13122100 5
552334 1121 5
203511 112301 2
349812 13102 5
1802844 131203 1
324947 1312 2
1398230 1310 2
1563430 11123 6
128188 112331 10
748550 1 5
536965 11231 5
1343437 1 5
1012072 13122 2
1132212 1132023 5
588408 11 6
1623601 1 5
1231225 13103 10
1648085 131 2
1787229 1 5
758465 131220 2
461206 1303321 6
1529422 1310 2
306858 130303 6
811041 13013 1
80889 11232 11
108772 11213 2
541767 1123133 7
1273528 11320 5
1233091 112321 2
380625 11 6
408144 113221 1
1266384 1301313 2
413390 1310 2
819758 112331 6
931740 1 5
699531 11231 11
1062902 11233 8
203972 1123232 5
1701270 131020 1
1173878 13010 1
897825 131200 2
1576368 11233 8
998498 112321 2
1241087 130 1
44566 131 2
338989 130 1
1371846 1 5
402972 131202 5
401996 131020 5
249011 11 6
555136 130103 5
22096 13013 6
1039577 130111 7
1504315 131200 2
1146919 11231 7
1080844 1 5
1056621 112 5
183349 13102 2
856060 1301 10
71825 1312000 2
990456 13013 2
1469096 1310 2
442672 131021 5
31091 11212 6
1419609 131 2
1218938 131200 5
536118 130031 10
122094 13032 6
152335 131021 2
741983 13120 1
1177039 131022 5
138825 113002 6
395978 110323 11
783096 1132 2
1313541 112331 5
1223059 1301 5
1655877 1 5
836886 1312 2
786634 1 5
1389706 1301220 6
252044 11231033 6
823025 1123 1
1143248 11 6
1403381 131 2
668467 11233102 9
953542 130112 5
747491 13102 5
607291 130 5
589231 13 1
390091 131220 5
1065063 11213 2
309579 1301 6
136921 1103 1
17159 112131 2
1529188 1310221 6
1115686 1301310 5
687418 11322 5
1470373 1123123 1
189199 13013 9
1560838 1123120 5
265769 1301 5
470377 11322 2
325859 1 5
744001 11210 5
1100249 1121 7
587046 1310 2
503027 11032 5
1211158 1 5
237966 11233 5
656877 1312002 2
949944 112 5
1501925 13120 5
